  4  1 22 0030 C   204.2     6.8     5.8    -7.1   201.5     3.7     9.6    -7.2   -10.7    79.9     0.2     0.0    57.90 99999.00    99.81     0.27     1.5 99999.0    10.4
  4  1 22 0130 C   200.2     6.2     5.9    -6.9   197.1     3.4     9.2    -7.0   -10.4    81.0     0.3     0.0    57.60 99999.00    99.77     0.28     1.5 99999.0    10.4
  4  1 22 0230 C   195.9     6.5     6.0    -6.7   193.2     4.0     8.4    -6.8   -10.0    81.8     0.1     0.0    57.70 99999.00    99.75     0.29     1.5 99999.0    10.4
  4  1 22 0330 C   197.7     6.4     6.2    -6.5   195.4     4.1     8.5    -6.5    -9.5    82.5     0.0     0.0    57.80 99999.00    99.70     0.30     1.5 99999.0    10.4
  4  1 22 0430 C   196.0     7.0     5.6    -6.5   193.8     4.3     8.4    -6.6    -9.4    84.3     0.1     0.0    57.40 99999.00    99.65     0.30     1.5 99999.0    10.4
  4  1 22 0530 C   192.4     6.9     6.5    -6.3   193.2     4.3     8.9    -6.4    -9.1    84.8     0.1     0.0    57.40 99999.00    99.60     0.31     1.5 99999.0    10.4
  4  1 22 0630 C   192.6     7.6     7.1    -6.1   194.1     5.0     9.5    -6.0    -8.8    84.2    -0.2     0.0    61.20 99999.00    99.54     0.31     1.5 99999.0    10.4
  4  1 22 0730 C   188.8     7.7     7.8    -6.0   191.2     4.9     9.7    -5.9    -8.6    84.8    -0.3     0.0    86.00 99999.00    99.48     0.32     1.5 99999.0    10.4
  4  1 22 0830 D   184.4     8.2     8.5    -5.1   184.6     5.6    11.4    -4.8    -7.9    81.1    -0.5     0.0   239.40 99999.00    99.45     0.34     1.5 99999.0    10.4
  4  1 22 0930 D   187.0     9.1     8.1    -4.1   188.7     6.9    11.2    -3.6    -7.5    76.2    -1.0     0.0   337.30 99999.00    99.46     0.35     1.5 99999.0    10.4
  4  1 22 1030 D   186.0     9.2     9.3    -3.1   187.9     6.7    12.9    -2.4    -6.9    72.2    -1.4     0.0   472.40 99999.00    99.40     0.36     1.5 99999.0    10.4
  4  1 22 1130 D   192.3     8.5    10.4    -2.1   196.9     6.6    12.9    -1.4    -6.1    70.8    -1.4     0.0   456.40 99999.00    99.30     0.39     1.5 99999.0    10.4
  4  1 22 1230 D   180.2     9.1     9.5    -1.5   183.2     6.3    13.3    -0.8    -5.2    72.4    -1.3     0.0   384.60 99999.00    99.09     0.42     1.5 99999.0    10.4
  4  1 22 1330 D   177.2     9.2     9.7    -1.0   180.3     6.1    13.1    -0.4    -4.8    71.5    -1.2     0.0   310.40 99999.00    98.90     0.43     1.5 99999.0    10.4
  4  1 22 1430 D   180.2     8.9     9.8    -0.5   184.8     6.0    12.9     0.1    -4.9    68.4    -1.1     0.0   259.60 99999.00    98.81     0.42     1.5 99999.0    10.4
  4  1 22 1530 C   165.1     6.5    10.8    -1.0   166.2     4.5    12.5    -0.5    -4.7    73.0    -0.9     0.0   129.80 99999.00    98.71     0.43     1.5 99999.0    10.4
  4  1 22 1630 C   161.6     6.4    10.2    -1.6   161.8     4.3    13.7    -1.2    -4.6    78.0    -0.7     0.0    60.90 99999.00    98.49     0.43     1.4 99999.0    10.4
  4  1 22 1730 C   169.2     7.9    11.2    -1.4   170.3     5.0    14.1    -1.0    -4.8    75.4    -0.6     0.0    53.70 99999.00    98.33     0.43     1.4 99999.0    10.4
  4  1 22 1830 C   182.3     7.6    12.2    -1.1   188.7     4.9    13.8    -0.8    -4.9    73.8    -0.6     0.0    54.10 99999.00    98.25     0.43     1.4 99999.0    10.4
  4  1 22 1930 D   199.4     8.3     9.6    -0.6   201.1     5.7    12.1    -0.3    -4.6    72.2    -0.6     0.0    53.60 99999.00    98.21     0.44     1.4 99999.0    10.4
  4  1 22 2030 D   205.0     8.7    10.1    -0.3   206.0     5.9    12.8    -0.0    -4.3    71.9    -0.5     0.0    53.20 99999.00    98.12     0.44     1.4 99999.0    10.4
  4  1 22 2130 D   207.6     9.2    10.0     0.3   209.2     6.4    12.3     0.6    -4.7    67.0    -0.6     0.0    53.30 99999.00    98.01     0.43     1.4 99999.0    10.4
  4  1 22 2230 D   212.5    10.1     9.3     0.2   215.5     6.9    13.0     0.5    -4.8    66.4    -0.5     0.0    52.50 99999.00    97.94     0.43     1.4 99999.0    10.4
  4  1 22 2330 D   214.7    10.6     8.6    -0.1   217.3     7.2    12.5     0.2    -4.5    70.0    -0.5     0.0    51.40 99999.00    97.87     0.44     1.4 99999.0    10.4
  4  1 22 2400 X   191.2     8.0     8.5    -3.1   192.7     5.4    11.7    -2.9    -6.7    76.0    -0.6     0.0   146.50 99999.00    98.98     0.37     1.5 99999.0    10.4
