  3 12 19 1330 C   237.7     7.6     8.9     2.0   242.2     6.0    12.3     2.8    -1.7    70.7    -1.6     0.0   358.50   192.50    98.36     0.54     3.3     7.4    11.4
  3 12 19 1430 D   235.3     7.2     9.3     2.7   237.2     5.6    13.4     3.3    -1.1    71.5    -1.2     0.0   230.20   109.10    98.37     0.56     3.3     7.4    11.4
  3 12 19 1530 D   237.4     6.8     8.0     3.2   242.0     5.0    11.1     3.6    -0.8    71.9    -0.8     0.0    99.00    17.50    98.38     0.58     3.3     7.3    11.4
  3 12 19 1630 D   231.9     6.2     6.3     3.0   238.1     4.1     9.7     3.0    -0.5    75.8    -0.1     0.0     7.10   -29.70    98.35     0.59     3.3     7.3    11.4
  3 12 19 1730 D   233.9     6.1     5.0     2.8   240.4     3.8     9.6     2.8    -0.0    79.8    -0.1     0.0     0.00   -20.10    98.34     0.61     3.3     7.3    11.4
  3 12 19 1830 D   238.2     6.3     5.5     2.5   243.4     3.8     9.8     2.4     0.2    83.5     0.1     0.0     0.00   -32.20    98.33     0.62     3.3     7.3    11.4
  3 12 19 1930 D   242.0     6.0     5.3     2.0   240.9     3.5     9.5     1.9     0.3    87.1     0.4     0.0     0.00   -36.70    98.28     0.62     3.3     7.3    11.4
  3 12 19 2030 D   242.7     5.9     5.5     1.6   241.1     3.2     8.6     1.2     0.2    90.9     0.7     0.0     0.00   -34.50    98.23     0.62     3.3     7.3    11.4
  3 12 19 2130 D   249.2     6.9     7.4     1.5   250.5     4.0     9.7     1.3     0.4    91.9     0.3     0.0     0.00   -35.80    98.17     0.63     3.3     7.3    11.4
  3 12 19 2230 D   265.3     7.3     6.5     1.2   265.6     4.1    10.2     1.1     0.3    92.2     0.2     0.0     0.00   -39.00    98.14     0.63     3.3     7.3    11.4
  3 12 19 2330 D   272.6     8.3     5.5     0.9   268.2     4.6     9.4     0.8    -0.1    91.8     0.2     0.0     0.00   -38.50    98.11     0.61     3.3     7.3    11.4
  3 12 19 2400 X   231.8     6.5     7.8     0.2   233.6     4.5    11.7     0.5    -1.6    85.3    -0.5     0.0    63.00    19.50    98.58     0.55     3.4     7.3    11.4
  4 12 19 0030 D   278.4     8.9     7.2     0.8   276.9     5.8    10.8     0.9    -0.4    88.7    -0.2     0.0     0.00   -41.80    98.12     0.59     3.3     7.3    11.4
