  3 11 19 2130 D   219.5     5.9    11.0     8.5   223.1     3.9    12.3     8.6     3.5    67.9    -0.3     0.0     0.00   -17.80    99.36     0.79     6.0    11.3    13.7
  3 11 19 2230 D   199.5     5.9     8.6     8.5   205.0     4.0    11.8     8.7     2.4    63.1    -0.4     0.0     0.00   -12.70    99.30     0.73     6.0    11.3    13.7
  3 11 19 2330 D   204.3     6.2     9.2     7.9   208.4     4.2    12.4     8.2     2.0    63.9    -0.5     0.0     0.00   -13.70    99.26     0.71     6.1    11.3    13.7
  3 11 19 2400 X   207.0     5.5     8.0     5.6   209.3     3.6    12.5     5.6     0.2    69.4    -0.0     0.0   104.00    37.20    99.55     0.62     5.6    11.4    13.7
  4 11 19 0030 D   206.4     7.0     8.2     7.9   208.5     5.0    11.9     8.1     1.7    62.9    -0.4     0.0     0.00   -11.60    99.19     0.69     6.1    11.3    13.7
  4 11 19 0130 D   207.6     7.9     8.7     8.3   211.9     5.4    12.6     8.5     1.5    60.7    -0.4     0.0     0.00   -14.30    99.13     0.68     6.1    11.3    13.7
  4 11 19 0230 D   206.3     8.0     8.5     8.3   209.0     5.8    12.5     8.5     1.5    60.3    -0.5     0.0     0.00   -14.00    99.09     0.68     6.2    11.3    13.7
  4 11 19 0330 D   211.2     7.0     9.3     8.1   215.7     4.9    13.0     8.3     1.6    61.7    -0.5     0.0     0.00   -15.70    99.07     0.69     6.2    11.3    13.7
  4 11 19 0430 D   219.6     6.7     8.7     8.1   221.7     4.6    12.6     8.3     1.9    62.8    -0.3     0.0     0.00   -21.50    99.07     0.70     6.2    11.2    13.7
  4 11 19 0530 D   224.0     6.7     7.9     7.6   229.3     4.5    12.5     7.6     1.8    65.7     0.1     0.0     0.00   -43.80    99.04     0.70     6.2    11.2    13.7
  4 11 19 0630 D   226.2     7.4     8.3     7.1   235.0     4.7    13.2     7.1     1.8    67.8     0.0     0.0    10.40   -36.30    99.05     0.70     6.2    11.2    13.7
  4 11 19 0730 C   235.9     6.6     9.6     6.8   241.2     4.7    11.9     7.1     1.9    68.5    -0.6     0.0   110.30     9.60    99.14     0.70     6.3    11.2    13.7
  4 11 19 0830 D   255.1     6.2     9.6     6.9   256.9     5.3    12.7     7.5     1.9    66.7    -1.1     0.0   252.00    76.10    99.24     0.70     6.3    11.2    13.7
  4 11 19 0930 C   251.0     4.8    10.4     7.0   256.8     4.4    14.1     7.7     2.4    68.5    -1.4     0.0   338.00   134.30    99.30     0.73     6.3    11.2    13.7
  4 11 19 1030 B   249.0     4.6    14.1     8.0   254.2     4.3    17.5     8.9     3.1    66.4    -1.8     0.0   409.80   184.30    99.37     0.77     6.3    11.2    13.7
  4 11 19 1130 C   254.2     5.1    12.2     8.6   258.0     4.5    15.1     9.4     3.8    67.1    -1.7     0.0   331.00   136.20    99.38     0.80     6.4    11.2    13.7
  4 11 19 1230 C   259.9     6.9    10.8     9.2   259.0     5.7    15.1    10.2     4.0    65.1    -1.9     0.0   488.40   187.10    99.35     0.82     6.4    11.2    13.7
  4 11 19 1330 D   262.3     6.8    10.9     9.5   267.1     5.7    14.5    10.2     3.6    62.8    -1.5     0.0   292.80    95.40    99.39     0.79     6.5    11.2    13.7
  4 11 19 1430 D   265.6     7.9     9.2     9.5   269.2     5.7    14.0    10.2     2.8    59.5    -1.3     0.0   210.50    67.00    99.42     0.75     6.6    11.2    13.7
  4 11 19 1530 D   268.9     8.5     9.7     9.1   270.8     6.0    12.6     9.7     2.4    59.7    -1.1     0.0   120.10    14.70    99.46     0.73     6.7    11.1    13.7
  4 11 19 1630 D   281.3     6.8    11.7     8.1   283.8     4.8    14.3     8.5     2.7    66.0    -0.8     0.0    12.10   -14.90    99.49     0.74     6.7    11.1    13.7
  4 11 19 1730 D   272.9     7.1     9.9     7.3   274.8     5.0    11.7     7.7     2.2    67.5    -0.6     0.0     0.00   -23.60    99.52     0.72     6.8    11.1    13.7
  4 11 19 1830 D   272.2     6.4     8.6     6.4   270.1     4.4    11.2     6.6     3.1    77.0    -0.5     0.0     0.00   -37.00    99.58     0.77     6.8    11.1    13.7
  4 11 19 1930 D   287.0     5.3     9.9     6.0   285.5     3.6    13.0     6.1     1.4    70.6    -0.3     0.0     0.00   -41.40    99.61     0.68     6.8    11.1    13.7
  4 11 19 2030 D   268.5     4.1     9.4     5.1   266.1     2.5    11.3     5.0     1.4    76.1     0.1     0.0     0.00   -47.30    99.62     0.68     6.8    11.1    13.6
  4 11 19 2130 D   265.9     4.4     6.1     3.9   262.7     2.6    10.0     3.8     1.7    84.6     0.1     0.0     0.00   -42.80    99.66     0.69     6.8    11.0    13.6
  4 11 19 2230 D   273.6     5.3     7.1     3.3   267.4     3.0    10.2     3.1     0.2    79.5     0.4     0.0     0.00   -46.40    99.70     0.62     6.8    11.0    13.6
  4 11 19 2330 D   267.5     4.7     5.8     2.5   267.8     2.8     9.4     2.5    -0.2    81.2     0.1     0.0     0.00   -39.80    99.74     0.60     6.7    11.0    13.6
  4 11 19 2400 X   248.1     6.3     8.7     7.2   250.6     4.6    12.9     7.5     2.1    67.9    -0.7     0.0   107.30    18.90    99.36     0.71     6.5    11.2    13.7
  5 11 19 0030 D   285.1     4.7     9.0     1.9   285.3     2.7    11.3     1.9    -0.6    82.2     0.1     0.0     0.00   -45.90    99.74     0.59     6.7    11.0    13.6
  5 11 19 0130 D   291.7     5.3     6.5     1.5   290.1     2.7    10.7     1.4    -1.1    82.3     0.4     0.0     0.00   -47.30    99.75     0.57     6.6    11.0    13.6
  5 11 19 0230 D   289.3     5.4     5.2     1.2   290.4     2.5    10.0     0.8    -1.3    83.9     0.8     0.0     0.00   -48.00    99.74     0.56     6.5    11.0    13.6
  5 11 19 0330 D   286.8     5.2     5.0     0.8   283.2     2.5     9.2     0.4    -1.5    85.3     0.7     0.0     0.00   -40.50    99.77     0.55     6.5    11.0    13.6
  5 11 19 0430 D   285.1     5.1     4.6     0.4   284.2     2.4     8.4    -0.1    -1.8    87.1     0.9     0.0     0.00   -38.00    99.83     0.54     6.4    11.0    13.6
  5 11 19 0530 D   289.8     5.5     6.1     0.3   291.4     2.5     9.5    -0.2    -2.0    86.7     1.2     0.0     0.00   -34.20    99.86     0.53     6.3    11.0    13.6
  5 11 19 0630 D   297.5     5.4     6.8     0.3   296.6     2.6    10.6    -0.3    -2.2    85.6     1.1     0.0    11.70   -29.10    99.90     0.52     6.2    11.0    13.6
  5 11 19 0730 C   287.2     4.1    10.0     0.6   281.4     2.8    13.0     0.8    -2.0    80.9    -0.3     0.0   169.00    51.40   100.01     0.53     6.2    11.0    13.6
  5 11 19 0830 C   286.2     5.2    11.2     1.8   284.0     4.3    14.2     2.2    -2.1    71.3    -0.8     0.0   298.00    83.10   100.13     0.52     6.1    11.0    13.6
  5 11 19 0930 C   277.7     6.5    12.8     2.9   280.9     5.3    16.2     3.5    -2.8    62.2    -1.3     0.0   447.00   134.40   100.20     0.50     6.1    11.0    13.6
  5 11 19 1030 D   270.1     9.2    11.1     2.8   272.1     6.8    15.2     3.8    -3.3    59.0    -1.9     0.0   504.00   135.40   100.25     0.48     6.0    11.0    13.6
  5 11 19 1130 D   271.2     8.9    12.1     2.8   270.4     6.9    15.6     3.6    -5.0    51.9    -1.5     0.0   563.20   170.90   100.19     0.42     6.0    11.0    13.6
  5 11 19 1230 D   275.4     7.7    12.7     3.1   274.5     6.0    15.3     3.8    -5.5    49.3    -1.4     0.0   537.10   167.10   100.18     0.41     6.0    11.0    13.6
  5 11 19 1330 C   273.5     7.4    13.7     3.4   273.6     5.6    15.5     4.1    -5.9    46.6    -1.4     0.0   467.40   133.90   100.20     0.40     6.0    11.0    13.6
  5 11 19 1430 D   277.0     7.4    11.0     3.5   279.7     5.8    15.5     4.1    -8.4    38.7    -1.1     0.0   343.40    59.30   100.24     0.33     6.0    11.0    13.6
  5 11 19 1530 C   280.0     6.2    11.5     3.4   281.6     4.9    14.9     3.7    -8.4    39.6    -0.6     0.0   171.80   -10.10   100.29     0.33     6.1    11.0    13.6
  5 11 19 1630 D   272.0     5.8    11.1     2.6   273.7     4.1    11.7     2.5    -8.2    43.3     0.0     0.0    19.10   -48.80   100.29     0.33     6.1    11.0    13.6
  5 11 19 1730 D   274.4     5.2     8.4     1.8   275.0     3.3    10.3     1.7    -7.5    48.7     0.4     0.0     0.00   -49.60   100.26     0.35     6.1    10.9    13.6
  5 11 19 1830 D   271.6     3.9     6.2     1.3   270.2     2.1     8.3     0.9    -7.0    53.2     0.8     0.0     0.00   -52.50   100.26     0.36     6.1    10.9    13.6
  5 11 19 1930 E   282.3     3.8     9.5     1.0   281.4     1.7    13.5     0.3    -6.5    58.3     1.4     0.0     0.00   -46.50   100.23     0.38     6.0    10.9    13.6
  5 11 19 2030 F   309.6     4.0     6.9     0.9   316.1     1.6    18.2    -0.1    -6.7    59.4     2.0     0.0     0.00   -38.70   100.21     0.37     5.9    10.9    13.6
  5 11 19 2130 E   308.6     3.7     3.6     0.7   294.5     1.5    13.9    -0.6    -6.7    61.8     2.7     0.0     0.00   -35.50   100.23     0.37     5.8    10.9    13.6
  5 11 19 2230 E   286.8     3.1    15.3     0.5   246.4     1.5    12.9    -0.8    -6.4    64.3     2.7     0.0     0.10   -20.70   100.25     0.38     5.7    10.9    13.6
  5 11 19 2330 E   267.9     2.5     6.5     0.5   246.8     1.3    13.7    -0.4    -6.1    63.8     1.9     0.0     0.00    -6.10   100.28     0.39     5.6    10.9    13.6
  5 11 19 2400 X   281.8     5.5     8.0     1.7   279.2     3.5    13.1     1.5    -4.5    64.4     0.3     0.0   147.20    14.30   100.10     0.45     6.1    11.0    13.6
  6 11 19 0030 D   242.4     2.9     7.3     0.5   226.7     1.8     8.8    -0.0    -5.5    64.9     1.2     0.0     0.00    -5.90   100.34     0.41     5.5    10.9    13.6
  6 11 19 0130 F   228.1     2.0    15.3     0.6   220.5     1.2    34.8     0.1    -4.2    71.2     1.1     0.0     0.00    -4.80   100.36     0.45     5.4    10.9    13.6
  6 11 19 0230 F   179.1     1.3    36.4     0.8   108.8     1.4    24.3     0.1    -3.4    75.2     1.3     0.0     0.00    -5.10   100.36     0.48     5.3    10.9    13.6
  6 11 19 0330 F   163.7     2.3     7.7     0.5   136.1     1.4    18.3     0.1    -2.9    78.5     0.8     0.0     0.00    -4.50   100.36     0.50     5.3    10.9    13.6
  6 11 19 0430 E   164.9     3.0     6.4     0.6   152.9     1.8    13.0     0.4    -3.1    75.3     0.4     0.0     0.00    -4.00   100.35     0.49     5.2    11.0    13.6
  6 11 19 0530 D   159.6     4.6     9.1     0.7   155.3     2.8    11.4     0.7    -3.0    74.5    -0.0     0.0     0.00    -4.80   100.30     0.49     5.2    11.0    13.6
  6 11 19 0630 D   162.3     4.8     8.7     1.3   166.2     3.3    11.5     1.4    -3.1    69.8    -0.3     0.0     2.80    -1.50   100.24     0.49     5.2    11.0    13.6
  6 11 19 0730 D   167.6     4.5     9.0     2.0   170.9     2.7    13.9     2.2    -2.3    70.7    -0.3     0.0    24.90    14.10   100.24     0.52     5.2    11.0    13.6
  6 11 19 0830 C   181.8     6.2    11.5     3.6   189.4     4.0    14.6     3.8    -1.5    66.8    -0.5     0.0    71.00    43.10   100.21     0.55     5.2    11.0    13.6
  6 11 19 0930 C   192.4     6.6     9.8     4.9   198.1     4.7    12.5     5.2    -0.5    64.9    -0.6     0.0    97.30    52.20   100.17     0.59     5.2    11.0    13.6
  6 11 19 1030 D   196.4     7.7    10.6     7.1   200.8     5.6    14.0     7.4     0.0    58.2    -0.6     0.0   200.70   100.30   100.11     0.61     5.2    11.0    13.6
  6 11 19 1130 D   212.6     7.6     9.8     9.6   217.3     5.4    14.4    10.0     0.0    48.6    -0.8     0.0   272.20   127.50   100.12     0.61     5.3    11.0    13.6
  6 11 19 1230 D   216.8     8.9    11.7    11.5   222.4     6.5    14.1    12.1     0.2    42.6    -1.3     0.0   452.10   177.00   100.03     0.62     5.3    11.0    13.6
  6 11 19 1330 D   228.5     8.3    11.3    12.4   232.6     6.3    14.5    12.8     1.0    43.1    -0.8     0.0   254.50    96.90   100.03     0.66     5.4    11.0    13.6
  6 11 19 1430 D   239.0     7.3    10.6    12.5   244.3     5.8    12.5    12.8     2.3    47.2    -0.6     0.0   171.80    62.30   100.04     0.72     5.5    11.0    13.6
  6 11 19 1530 C   233.6     5.7    10.4    12.2   237.9     4.3    13.0    12.3     3.0    51.2    -0.4     0.0    55.50    17.00   100.02     0.76     5.7    11.0    13.6
  6 11 19 1630 D   328.9     5.7    59.7     9.9   320.9     3.6    26.0    10.1     2.7    58.8    -0.3     0.0     3.60    -8.80   100.06     0.75     5.8    11.0    13.6
  6 11 19 1730 D    13.4     6.8    12.0     4.1    23.5     3.9    20.0     4.4     0.5    73.3    -0.6     0.0     0.00    -7.20   100.14     0.63     5.9    11.0    13.6
  6 11 19 1830 D    16.2     6.7    10.5     2.8    26.3     3.9    18.8     3.1    -0.0    77.8    -0.5     0.0     0.00    -5.90   100.17     0.61     6.0    11.0    13.6
  6 11 19 1930 D    16.7     6.7    11.4     1.9    23.3     3.9    21.1     2.2    -0.5    80.0    -0.6     0.0     0.00    -6.70   100.21     0.59     6.0    11.0    13.5
  6 11 19 2030 D     8.4     7.4    10.7     0.7    14.7     3.8    22.1     1.0    -1.2    82.9    -0.6     0.0     0.00    -7.30   100.25     0.56     6.0    11.0    13.5
  6 11 19 2130 D     9.1     6.8    10.8    -0.5    17.7     3.4    21.4    -0.2    -1.1    91.4    -0.5     0.0     0.00    -7.50   100.29     0.57     6.1    11.0    13.5
  6 11 19 2230 D     2.1     6.7    11.2    -1.0     6.9     3.0    21.9    -0.8    -1.0    96.2    -0.4     0.0     0.00    -4.00   100.29     0.57     6.0    11.0    13.5
  6 11 19 2330 D   357.4     7.3    11.8    -1.5   357.4     3.5    22.2    -1.3    -1.8    95.5    -0.4     0.0     0.00    -4.10   100.32     0.54     6.0    11.0    13.5
  6 11 19 2400 X   230.4     5.8    10.7     4.1   218.3     3.7    18.4     4.2    -1.1    69.1    -0.2     0.0    66.90    25.30   100.21     0.57     5.5    11.0    13.6
  7 11 19 0030 E   353.6     7.4    11.1    -2.3   354.9     3.6    23.7    -2.1    -3.1    91.6    -0.4     0.0     0.00    -6.60   100.33     0.49     6.0    10.9    13.5
  7 11 19 0130 D   348.9     6.3    11.7    -2.4   348.0     3.4    21.5    -2.1    -3.9    87.1    -0.5     0.0     0.00   -13.00   100.41     0.46     6.0    10.9    13.5
  7 11 19 0230 D   349.5     6.1    11.4    -2.6   345.8     3.4    19.8    -2.3    -4.6    83.4    -0.6     0.0     0.00   -14.30   100.39     0.43     5.9    10.9    13.5
  7 11 19 0330 D   350.4     6.2    16.7    -2.8   348.6     3.6    21.2    -2.5    -5.1    81.7    -0.6     0.0     0.00   -10.70   100.35     0.42     5.9    10.9    13.5
  7 11 19 0430 D   347.8     5.8    15.4    -3.0   348.9     3.7    21.4    -2.7    -6.0    77.8    -0.6     0.0     0.00   -14.30   100.39     0.39     5.8    10.9    13.5
